id,model,action,image,source,source_frame,action_time_s,source_time_s,local_density_score,hotspot_channel,active_nodes_above_0_1,missing_channels
30_combined_A001,finger,back_touch,finger/30_combined_A001.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,25,2.44,14.931,0.3333333333333333,C5R6,2,0
30_combined_A002,finger,front_touch,finger/30_combined_A002.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,23,1.713,13.837,0.5,C3R4,3,0
30_combined_A003,finger,grasp,finger/30_combined_A003.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,6,1.612,3.492,0.5,C2R2,7,0
30_combined_A004,finger,grasp,finger/30_combined_A004.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,16,1.926,9.619,0.5,C2R2,7,0
30_combined_A005,finger,grasp,finger/30_combined_A005.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,27,2.94,16.121,0.3333333333333333,C6R1,4,0
30_combined_A006,finger,grasp,finger/30_combined_A006.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,32,1.758,19.194,0.16666666666666666,C1R1,2,0
30_combined_A007,finger,grasp,finger/30_combined_A007.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,39,2.381,23.397,0.6130113333333334,C6R2,6,0
30_combined_A008,finger,back_touch,finger/30_combined_A008.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,45,1.106,26.975,0.16666666666666666,C1R1,2,0
30_combined_A009,finger,grasp,finger/30_combined_A009.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,54,2.246,32.296,0.4110225,C2R4,4,0
30_combined_A010,finger,grasp,finger/30_combined_A010.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,58,1.907,34.838,0.5,C1R1,5,0
30_combined_A011,finger,grasp,finger/30_combined_A011.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,67,2.377,40.132,0.2941508333333333,C2R4,2,0
30_combined_A012,finger,grasp,finger/30_combined_A012.png,finger/action_library/30point_recordings_18node_sparse/finger_actions_18node_6x6_sparse.xlsx,75,1.279,44.971,0.5,C6R2,4,0
18_segment_E001,finger,grasp,finger/18_segment_E001.png,finger/action_library/18point_6x6_sparse/segments/E001_grasp_tactile_48points_20260908_163756_f0001-f0012.xlsx,7,3.142,3.616,0.6666666666666666,R7C5,9,0
18_segment_E002,finger,grasp,finger/18_segment_E002.png,finger/action_library/18point_6x6_sparse/segments/E002_grasp_tactile_48points_20260908_163756_f0015-f0023.xlsx,19,2.067,10.064,0.6479303333333334,R11C11,10,0
18_segment_E003,finger,back_touch,finger/18_segment_E003.png,finger/action_library/18point_6x6_sparse/segments/E003_back_touch_tactile_48points_20260908_164148_f0000-f0005.xlsx,1,0.478,0.478,0.18954249999999997,R1C9,4,0
18_segment_E004,finger,grasp,finger/18_segment_E004.png,finger/action_library/18point_6x6_sparse/segments/E004_grasp_tactile_48points_20260908_164148_f0007-f0013.xlsx,13,3.271,6.927,0.16666666666666666,R1C1,1,0
18_segment_E005,finger,front_touch,finger/18_segment_E005.png,finger/action_library/18point_6x6_sparse/segments/E005_front_touch_tactile_48points_20260908_164148_f0013-f0018.xlsx,15,1.043,7.97,0.44444449999999996,R3C11,5,0
