action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018,N019,N020,N021,N022,N023,N024,N025,N026,N027,N028,N029,N030,N031,N032,N033,N034,N035,N036
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.545862,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.544579,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100000,0.541020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.549421,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.150000,0.536178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.031619,0.088236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.554263,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200000,0.533087,0.000000,0.009619,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.038672,0.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546772,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.250000,0.533087,0.000000,0.036203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.058166,0.094873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.517530,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300000,0.533087,0.000000,0.062786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104411,0.077660,0.099747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.488288,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.350000,0.533087,0.000000,0.088443,0.000000,0.000000,0.000000,0.567588,0.000000,0.090383,0.000000,0.000000,0.000000,0.104411,0.107943,0.104829,0.000000,0.000000,0.000000,0.120588,0.017590,0.086088,0.000000,0.000000,0.000000,0.459046,0.000000,0.000000,0.000000,0.000000,1.000000,0.591853,0.000000,0.000000,0.000000,0.000000,1.000000
0.400000,0.533087,0.000000,0.093317,0.000000,0.000000,0.000000,0.570941,0.000000,0.093736,0.000000,0.000000,0.000000,0.104411,0.380224,0.114576,0.000000,0.000000,0.000000,0.120588,0.020943,0.082735,0.000000,0.000000,0.000000,0.429802,0.000000,0.000000,0.000000,0.000000,1.000000,0.595206,0.000000,0.000000,0.000000,0.000000,1.000000
0.450000,0.533087,0.000000,0.098191,0.000000,0.000000,0.000000,0.574294,0.000000,0.097089,0.000000,0.000000,0.000000,0.104411,0.652505,0.124324,0.000000,0.000000,0.000000,0.120588,0.024296,0.079382,0.000000,0.000000,0.000000,0.400557,0.000000,0.000000,0.000000,0.000000,1.000000,0.598559,0.000000,0.000000,0.000000,0.000000,1.000000
0.500000,0.533087,0.000000,0.103065,0.000000,0.000000,0.000000,0.577648,0.000000,0.100442,0.000000,0.000000,0.000000,0.104411,0.924785,0.134072,0.000000,0.000000,0.000000,0.120588,0.027649,0.076029,0.000000,0.000000,0.000000,0.371313,0.000000,0.000000,0.000000,0.000000,1.000000,0.601913,0.000000,0.000000,0.000000,0.000000,1.000000
0.550000,0.533087,0.000000,0.106838,0.000000,0.000000,0.000000,0.581001,0.000000,0.103794,0.000000,0.000000,0.000000,0.104411,1.000000,0.153753,0.000000,0.000000,0.000000,0.120588,0.031002,0.072676,0.000000,0.000000,0.000000,0.372942,0.000000,0.000000,0.000000,0.000000,1.000000,0.605266,0.000000,0.000000,0.000000,0.000000,1.000000
0.600000,0.533087,0.000000,0.110191,0.000000,0.000000,0.000000,0.581617,0.000000,0.108466,0.000000,0.000000,0.000000,0.104411,1.000000,0.177224,0.000000,0.000000,0.000000,0.116533,0.064055,0.092331,0.000000,0.000000,0.000000,0.386355,0.000000,0.000000,0.000000,0.000000,1.000000,0.549119,0.000000,0.000000,0.000000,0.000000,1.000000
0.650000,0.533087,0.000000,0.113544,0.000000,0.000000,0.000000,0.581617,0.000000,0.113434,0.000000,0.000000,0.000000,0.104411,1.000000,0.200695,0.000000,0.000000,0.000000,0.111565,0.103803,0.117174,0.000000,0.000000,0.000000,0.399767,0.000000,0.000000,0.000000,0.000000,1.000000,0.479560,0.000000,0.000000,0.000000,0.000000,1.000000
0.700000,0.533087,0.000000,0.116897,0.000000,0.000000,0.000000,0.581617,0.000000,0.118403,0.000000,0.000000,0.000000,0.104411,1.000000,0.224167,0.000000,0.000000,0.000000,0.106596,0.143550,0.142016,0.000000,0.000000,0.000000,0.413179,0.000000,0.000000,0.000000,0.000000,1.000000,0.410001,0.000000,0.000000,0.000000,0.000000,1.000000
0.750000,0.533087,0.000000,0.120250,0.000000,0.000000,0.000000,0.576023,0.000000,0.120588,0.000000,0.000000,0.000000,0.104411,1.000000,0.247638,0.000000,0.000000,0.000000,0.101614,0.306112,0.200497,0.000000,0.000000,0.000000,0.426591,0.000000,0.000000,0.000000,0.000000,1.000000,0.337451,0.000000,0.000000,0.000000,0.000000,1.000000
0.800000,0.537554,0.000000,0.116121,0.000000,0.000000,0.000000,0.566037,0.000000,0.120588,0.000000,0.000000,0.000000,0.104411,1.000000,0.258933,0.000000,0.000000,0.000000,0.096621,0.565076,0.285380,0.000000,0.000000,0.000000,0.423474,0.000000,0.000000,0.000000,0.000000,1.000000,0.262553,0.000000,0.000000,0.000000,0.000000,1.000000
0.850000,0.542521,0.000000,0.111155,0.000000,0.000000,0.000000,0.556050,0.000000,0.120588,0.000000,0.000000,0.000000,0.104411,1.000000,0.268866,0.000000,0.000000,0.000000,0.091628,0.824039,0.370264,0.000000,0.000000,0.000000,0.418508,0.000000,0.000000,0.000000,0.000000,1.000000,0.187655,0.000000,0.000000,0.000000,0.000000,1.000000
0.900000,0.547488,0.000000,0.106188,0.000000,0.000000,0.000000,0.547685,0.000000,0.122167,0.000000,0.000000,0.000000,0.104411,1.000000,0.278799,0.000000,0.000000,0.000000,0.086655,1.000000,0.429521,0.000000,0.000000,0.000000,0.413541,0.000000,0.000000,0.000000,0.000000,1.000000,0.143082,0.000000,0.000000,0.000000,0.000000,1.000000
0.950000,0.549265,0.000000,0.107560,0.000000,0.000000,0.000000,0.542757,0.000000,0.127095,0.000000,0.000000,0.000000,0.104411,1.000000,0.279205,0.000000,0.000000,0.000000,0.081727,1.000000,0.434449,0.000000,0.000000,0.000000,0.411764,0.000000,0.000000,0.000000,0.000000,1.000000,0.162794,0.000000,0.000000,0.000000,0.000000,1.000000
1.000000,0.549265,0.000000,0.112463,0.000000,0.000000,0.000000,0.537829,0.000000,0.132023,0.000000,0.000000,0.000000,0.104411,1.000000,0.274302,0.000000,0.000000,0.000000,0.076799,1.000000,0.439378,0.000000,0.000000,0.000000,0.411764,0.000000,0.000000,0.000000,0.000000,1.000000,0.182506,0.000000,0.000000,0.000000,0.000000,1.000000
1.050000,0.549265,0.000000,0.117366,0.000000,0.000000,0.000000,0.533240,0.000000,0.136916,0.000000,0.000000,0.000000,0.104411,1.000000,0.269399,0.000000,0.000000,0.000000,0.071905,1.000000,0.444423,0.000000,0.000000,0.000000,0.411764,0.000000,0.000000,0.000000,0.000000,1.000000,0.201774,0.000000,0.000000,0.000000,0.000000,1.000000
1.100000,0.549265,0.000000,0.117268,0.000000,0.000000,0.000000,0.537246,0.000000,0.140922,0.000000,0.000000,0.000000,0.102752,1.000000,0.269497,0.000000,0.000000,0.000000,0.067899,1.000000,0.452435,0.000000,0.000000,0.000000,0.415083,0.000000,0.000000,0.000000,0.000000,1.000000,0.209786,0.000000,0.000000,0.000000,0.000000,1.000000
