sequence,position,orientation,sleeve_A_action,sleeve_A_source_key_frame,sleeve_B_action,sleeve_B_source_key_frame,website_key_frame_0based,website_key_frame_1based,website_time_s
all8,1,palm,R1G-023,269,R1G-024,279,25,26,1.250
all8,2,palm,R1G-024,279,R1G-023,269,86,87,4.300
all8,3,palm,R1G-025,365,R1G-026,388,148,149,7.400
all8,4,palm,R1G-026,388,R1G-025,365,203,204,10.150
all8,5,palm,R1G-027,418,R1G-020,229,257,258,12.850
all8,6,palm,R1G-020,229,R1G-027,418,316,317,15.800
all8,7,palm,R1G-017,176,R1G-018,190,375,376,18.750
all8,8,palm,R1G-018,190,R1G-017,176,429,430,21.450
group1,1,palm,R1G-023,269,R1G-024,279,25,26,1.250
group1,2,back,R1G-024,279,R1G-023,269,86,87,4.300
group1,3,back,R1G-025,365,R1G-026,388,148,149,7.400
group1,4,palm,R1G-026,388,R1G-025,365,203,204,10.150
group2,1,palm,R1G-027,418,R1G-020,229,25,26,1.250
group2,2,back,R1G-020,229,R1G-027,418,84,85,4.200
group2,3,back,R1G-017,176,R1G-018,190,143,144,7.150
group2,4,palm,R1G-018,190,R1G-017,176,197,198,9.850
