time_s,round,row,column,adc_u8,voltage_v
0.001868,0,1,1,139,1.798824
0.056656,0,1,3,119,1.540000
0.105593,0,1,5,134,1.734118
0.154590,0,1,7,0,0.000000
0.204625,0,1,9,138,1.785882
0.256644,0,1,11,135,1.747059
0.306690,0,3,1,140,1.811765
0.355677,0,3,3,137,1.772941
0.405690,0,3,5,131,1.695294
0.456702,0,3,7,139,1.798824
0.505678,0,3,9,138,1.785882
0.555767,0,3,11,132,1.708235
0.606701,0,5,1,138,1.785882
0.656727,0,5,3,141,1.824706
0.703635,0,5,5,137,1.772941
0.756705,0,5,7,140,1.811765
0.806721,0,5,9,138,1.785882
0.855794,0,5,11,137,1.772941
0.905791,0,7,1,139,1.798824
0.956732,0,7,3,139,1.798824
1.001858,0,7,5,138,1.785882
1.052820,0,7,7,140,1.811765
1.106649,0,7,9,138,1.785882
1.155679,0,7,11,141,1.824706
1.201740,0,9,1,138,1.785882
1.255808,0,9,3,70,0.905882
1.304737,0,9,5,138,1.785882
1.354712,0,9,7,82,1.061176
1.404908,0,9,9,140,1.811765
1.455919,0,9,11,137,1.772941
1.507115,0,11,1,141,1.824706
1.555742,0,11,3,125,1.617647
1.607068,0,11,5,18,0.232941
1.655855,0,11,7,97,1.255294
1.705813,0,11,9,139,1.798824
1.755767,0,11,11,139,1.798824
1.804888,1,1,1,141,1.824706
1.856817,1,1,3,119,1.540000
1.904870,1,1,5,134,1.734118
1.956797,1,1,7,0,0.000000
2.006762,1,1,9,138,1.785882
2.055810,1,1,11,138,1.785882
2.105963,1,3,1,141,1.824706
2.155857,1,3,3,135,1.747059
2.204862,1,3,5,131,1.695294
2.254805,1,3,7,140,1.811765
2.306797,1,3,9,140,1.811765
2.354713,1,3,11,132,1.708235
2.403986,1,5,1,142,1.837647
2.451790,1,5,3,138,1.785882
2.506807,1,5,5,137,1.772941
2.551821,1,5,7,140,1.811765
2.606721,1,5,9,138,1.785882
2.654034,1,5,11,141,1.824706
2.703711,1,7,1,137,1.772941
2.756826,1,7,3,140,1.811765
2.804884,1,7,5,137,1.772941
2.855816,1,7,7,140,1.811765
2.905805,1,7,9,138,1.785882
2.954865,1,7,11,140,1.811765
3.006774,1,9,1,142,1.837647
3.055912,1,9,3,70,0.905882
3.104913,1,9,5,139,1.798824
3.155926,1,9,7,82,1.061176
3.206798,1,9,9,142,1.837647
3.255859,1,9,11,137,1.772941
3.306861,1,11,1,142,1.837647
3.355814,1,11,3,126,1.630588
3.404895,1,11,5,18,0.232941
3.454905,1,11,7,98,1.268235
3.505872,1,11,9,138,1.785882
3.556742,1,11,11,138,1.785882
3.606783,2,1,1,138,1.785882
3.655843,2,1,3,112,1.449412
3.704738,2,1,5,138,1.785882
3.755676,2,1,7,0,0.000000
3.805710,2,1,9,139,1.798824
3.855705,2,1,11,140,1.811765
3.903638,2,3,1,142,1.837647
3.954670,2,3,3,139,1.798824
4.003702,2,3,5,137,1.772941
4.054814,2,3,7,141,1.824706
4.104744,2,3,9,140,1.811765
4.154730,2,3,11,140,1.811765
4.201698,2,5,1,141,1.824706
4.255858,2,5,3,141,1.824706
4.306880,2,5,5,138,1.785882
4.352781,2,5,7,139,1.798824
4.404717,2,5,9,138,1.785882
4.452672,2,5,11,137,1.772941
4.501632,2,7,1,138,1.785882
4.554735,2,7,3,140,1.811765
4.604644,2,7,5,138,1.785882
4.654886,2,7,7,140,1.811765
4.705846,2,7,9,139,1.798824
4.751680,2,7,11,138,1.785882
4.803706,2,9,1,142,1.837647
4.852721,2,9,3,70,0.905882
4.904692,2,9,5,136,1.760000
4.951688,2,9,7,82,1.061176
5.006654,2,9,9,141,1.824706
5.054683,2,9,11,136,1.760000
5.104715,2,11,1,142,1.837647
5.155697,2,11,3,126,1.630588
5.205684,2,11,5,15,0.194118
5.255744,2,11,7,108,1.397647
5.304733,2,11,9,141,1.824706
5.355642,2,11,11,135,1.747059
5.404715,3,1,1,140,1.811765
5.456714,3,1,3,118,1.527059
5.505729,3,1,5,134,1.734118
5.556691,3,1,7,0,0.000000
5.601719,3,1,9,142,1.837647
5.654707,3,1,11,137,1.772941
5.702731,3,3,1,140,1.811765
5.752753,3,3,3,139,1.798824
5.806791,3,3,5,136,1.760000
5.853950,3,3,7,140,1.811765
5.906725,3,3,9,142,1.837647
5.956666,3,3,11,140,1.811765
6.006644,3,5,1,137,1.772941
6.054758,3,5,3,140,1.811765
6.104798,3,5,5,138,1.785882
6.155725,3,5,7,140,1.811765
6.205702,3,5,9,138,1.785882
6.254757,3,5,11,138,1.785882
6.304707,3,7,1,138,1.785882
6.354691,3,7,3,141,1.824706
6.406765,3,7,5,142,1.837647
6.456733,3,7,7,140,1.811765
6.501718,3,7,9,139,1.798824
6.556685,3,7,11,138,1.785882
6.606665,3,9,1,142,1.837647
6.651686,3,9,3,69,0.892941
6.704712,3,9,5,136,1.760000
6.756688,3,9,7,82,1.061176
6.804740,3,9,9,142,1.837647
6.854762,3,9,11,136,1.760000
6.904756,3,11,1,142,1.837647
6.956781,3,11,3,125,1.617647
7.005868,3,11,5,15,0.194118
7.055769,3,11,7,106,1.371765
7.106670,3,11,9,142,1.837647
7.154799,3,11,11,137,1.772941
7.206857,4,1,1,142,1.837647
7.257029,4,1,3,118,1.527059
7.306664,4,1,5,134,1.734118
7.356640,4,1,7,0,0.000000
7.406665,4,1,9,138,1.785882
7.456660,4,1,11,140,1.811765
7.504698,4,3,1,139,1.798824
7.555880,4,3,3,140,1.811765
7.604748,4,3,5,136,1.760000
7.655680,4,3,7,140,1.811765
7.706682,4,3,9,140,1.811765
7.756667,4,3,11,135,1.747059
7.804716,4,5,1,138,1.785882
7.856703,4,5,3,140,1.811765
7.906695,4,5,5,138,1.785882
7.956658,4,5,7,140,1.811765
8.005870,4,5,9,139,1.798824
8.055664,4,5,11,138,1.785882
8.102839,4,7,1,141,1.824706
8.156830,4,7,3,140,1.811765
8.202844,4,7,5,138,1.785882
8.255679,4,7,7,140,1.811765
8.305644,4,7,9,139,1.798824
8.354708,4,7,11,137,1.772941
8.402701,4,9,1,142,1.837647
8.451760,4,9,3,69,0.892941
8.504735,4,9,5,135,1.747059
8.554745,4,9,7,81,1.048235
8.601739,4,9,9,141,1.824706
8.656708,4,9,11,137,1.772941
8.704807,4,11,1,142,1.837647
8.755712,4,11,3,125,1.617647
8.803766,4,11,5,15,0.194118
8.854733,4,11,7,106,1.371765
8.905681,4,11,9,141,1.824706
8.956723,4,11,11,140,1.811765
9.004740,5,1,1,139,1.798824
9.056660,5,1,3,119,1.540000
9.106726,5,1,5,134,1.734118
9.156718,5,1,7,0,0.000000
9.201730,5,1,9,140,1.811765
9.252799,5,1,11,137,1.772941
9.305872,5,3,1,142,1.837647
9.354744,5,3,3,141,1.824706
9.406687,5,3,5,138,1.785882
9.454717,5,3,7,140,1.811765
9.504727,5,3,9,141,1.824706
9.552750,5,3,11,140,1.811765
9.604722,5,5,1,140,1.811765
9.652753,5,5,3,140,1.811765
9.704732,5,5,5,139,1.798824
9.754713,5,5,7,140,1.811765
9.806655,5,5,9,138,1.785882
9.854823,5,5,11,138,1.785882
9.906762,5,7,1,141,1.824706
9.956721,5,7,3,140,1.811765
10.004737,5,7,5,140,1.811765
10.054885,5,7,7,140,1.811765
10.102708,5,7,9,138,1.785882
10.154774,5,7,11,141,1.824706
10.204757,5,9,1,142,1.837647
10.255860,5,9,3,69,0.892941
10.305883,5,9,5,135,1.747059
10.354748,5,9,7,81,1.048235
