row,column,classification,samples,mean_v,std_v,range_v,p95_minus_p05_v,max_step_v,major_step_count
1,7,responsive-high,25,0.419294,0.654818,1.798824,1.703059,0.892941,5
11,5,responsive-high,25,0.735576,0.713365,1.656471,1.628001,0.724706,5
3,5,responsive-provisional,25,1.716000,0.199714,1.074118,0.132000,1.061177,2
9,3,responsive-high,25,1.112423,0.323281,0.931765,0.903295,0.841177,5
9,7,responsive-high,25,1.172988,0.244965,0.815294,0.781647,0.634117,4
11,11,responsive-high,25,1.737223,0.149996,0.750589,0.248471,0.711765,5
1,3,responsive-high,25,1.588141,0.144038,0.685882,0.364941,0.647059,3
1,11,responsive-high,25,1.739812,0.134343,0.608236,0.346824,0.608236,3
11,3,responsive-high,25,1.652329,0.113807,0.595294,0.204471,0.543529,5
11,7,responsive-high,25,1.515671,0.215347,0.582353,0.540942,0.465883,4
3,3,responsive-provisional,25,1.783294,0.066089,0.349412,0.108706,0.297647,2
3,7,responsive-provisional,25,1.793647,0.065375,0.349412,0.085412,0.336471,2
9,5,responsive-provisional,25,1.752753,0.054915,0.310589,0.059529,0.271765,2
9,11,responsive-high,25,1.751718,0.071716,0.297647,0.251058,0.297647,4
1,5,responsive-provisional,25,1.746024,0.047713,0.207059,0.163059,0.207059,1
3,11,responsive-provisional,25,1.744471,0.058106,0.207059,0.165648,0.155295,1
5,1,inactive,25,1.817459,0.019739,0.064706,0.051765,0.051765,0
5,3,inactive,25,1.813318,0.015667,0.064706,0.049177,0.051765,0
5,5,inactive,25,1.795718,0.019465,0.064706,0.051765,0.051765,0
5,11,inactive,25,1.795718,0.018404,0.064706,0.051765,0.051765,0
7,1,inactive,25,1.811765,0.025094,0.064706,0.064706,0.064706,0
7,3,inactive,25,1.817977,0.015145,0.064706,0.038823,0.038824,0
7,5,inactive,25,1.798306,0.020861,0.064706,0.064706,0.051765,0
11,9,inactive,25,1.821600,0.021116,0.064706,0.062118,0.051765,0
1,1,inactive,26,1.810272,0.015779,0.051765,0.051765,0.051765,0
1,9,inactive,25,1.804518,0.018331,0.051765,0.051765,0.051765,0
3,1,inactive,25,1.824188,0.016155,0.051765,0.038823,0.051765,0
3,9,inactive,25,1.816941,0.018664,0.051765,0.051765,0.051765,0
5,7,inactive,25,1.810730,0.012096,0.051765,0.049177,0.051765,0
5,9,inactive,25,1.791576,0.011621,0.051765,0.023295,0.051765,0
7,11,inactive,25,1.800894,0.016646,0.051765,0.051765,0.051765,0
9,1,inactive,25,1.829365,0.015039,0.051765,0.046588,0.051765,0
9,9,inactive,25,1.816941,0.018302,0.051765,0.051765,0.051765,0
11,1,inactive,25,1.825224,0.016155,0.051765,0.049177,0.051765,0
7,9,inactive,25,1.796753,0.010144,0.038824,0.025883,0.025883,0
7,7,inactive,25,1.817459,0.011621,0.038823,0.036235,0.038823,0
