action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.050000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.136803,0.266177,0.000000,0.000000,0.000000,1.000000,0.648994,0.000000,0.000000,0.000000
0.100000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.151649,0.266177,0.000000,0.000000,0.000000,1.000000,0.639096,0.000000,0.000000,0.000000
0.150000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.088235,0.166495,0.266177,0.000000,0.000000,0.000000,1.000000,0.629199,0.000000,0.000000,0.000000
0.200000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.086861,0.179954,0.266177,0.000000,0.000000,0.000000,1.000000,0.620684,0.000000,0.000000,0.000000
0.250000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.081927,0.189820,0.266177,0.000000,0.000000,0.000000,1.000000,0.615752,0.000000,0.000000,0.000000
0.300000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.076994,0.199686,0.266177,0.000000,0.000000,0.000000,1.000000,0.610819,0.000000,0.000000,0.000000
0.350000,0.000000,0.533087,0.000000,0.000000,0.000000,0.000000,0.000000,0.072061,0.209552,0.266177,0.000000,0.000000,0.000000,1.000000,0.605886,0.000000,0.000000,0.000000
0.400000,0.000000,0.528248,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.214399,0.266177,0.000000,0.000000,0.000000,1.000000,0.615563,0.000000,0.000000,0.000000
0.450000,0.000000,0.523405,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.219243,0.266177,0.000000,0.000000,0.000000,1.000000,0.625250,0.000000,0.000000,0.000000
0.500000,0.000000,0.518561,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.224087,0.266177,0.000000,0.000000,0.000000,1.000000,0.634937,0.000000,0.000000,0.000000
0.550000,0.000000,0.516912,0.000000,0.000000,0.000000,0.000000,0.000000,0.072057,0.236806,0.266177,0.000000,0.000000,0.000000,1.000000,0.638235,0.000000,0.000000,0.000000
